titles,authors,nums,peoples
隐形冠军,赫尔曼·西蒙/经济日报出版社/2005-5/28.00元,7.8,107
创业的艺术,盖伊·川崎/李旭大/当代中国出版社/2006-9/26.00元,7.6,245
精益创业方法论,龚焱/机械工业出版社/2015-3/69.00元,7.8,194
Facebook,(美)麦兹里奇、BenMezrich/马小艳/中信出版社/2010-6/29.00元,6.6,1223
乔布斯传,王咏刚、周虹/上海财经大学出版社/2011-8/39.80元,7,2972
开家自己的咖啡馆,[日]《开家自己的咖啡馆》编辑部/王菁/中信出版社/2013-6/35.00元,7.5,220
马云点评创业,《赢在中国》项目组/中国民主法制出版社/2007-10/38.00元,7.5,905
欢迎光临,（美）丹尼·迈耶/苑家玲/中信出版社/2008-10/39.00元,8.2,48
The Upstarts,BradStone/BantamPress/2017-1-31/GBP13.99,8.7,31
来开店吧！令人憧憬的个性咖啡馆,[日]柏木珠希/王淑仪/山东人民出版社/2014-3-1/29.80,7.6,100
重新定义股权激励,上海宋海佳律师事务所/中信出版集团/中信•大方/2016-11-26/48.00元,7.5,21
途客圈创业记：不疯魔，不成活,陈天/人民邮电出版社/2016-12-1/39,8.6,81
如何测试商业模式:创业者与管理者在启动精益创业前应该做什么（原书第4版）,[美]约翰·马林斯（JohnMullins）/郭武文、叶颖/机械工业出版社/45.00,6.4,10
名创优品：重新定义全球零售业,唐一辰/北京大学出版社/2017-4/48.00元,7.7,53
就这样，挺过创业难关,许琼林/当代中国出版社/2009-12/28.00元,7.7,222
增长黑客实战,范冰、张溪梦/电子工业出版社/2017-6/59.00,7.5,100
创新者的思考,大前研一/王伟、郑玉贵/2013-1/30.00元,7.5,131
第一团队,朱瑛石/中信出版社/2008-1/36.00元,7.4,485
免费,[美]克里斯·安德森/蒋旭峰、冯斌、璩静/中信出版社/2009-9/39.00,7.5,3420
估值就是讲故事：创业融资与投资,Dr.2/机械工业出版社/2015-8-5/39.00元,7.2,96
Chaos Monkeys,AntonioGarciaMartinez/Harper/2016-6-28/USD29.99,7.3,41
拒绝平庸,李正曦/中信出版社/2013-9/42.00元,7.3,343
转行,[美]埃米尼亚·伊瓦拉（HerminiaIbarra）/张洪磊、汪珊珊/机械工业出版社/2016-8/39.00,7.7,198
切蛋糕,MikeMoyer/王闻、李筱莹、常逸昆,7.2,173
The Founder's Dilemmas,NoamWasserman/PrincetonUniversityPress/2012-3-25/USD35.00,8.5,24
创业圣经,大前研一/周迅/东方出版社/2009-1/45.00元,7.5,155
互联网浪尖上的女性,田玉翠/人民出版社/2017-1/68.00,7.6,20
服装设计师创业指南,玛丽·吉尔海厄/中国纺织出版社北京图书发行部/2006-8/29.80元,8.1,24
社交红利,徐志斌/北京联合出版公司/2013-8/42,6.8,980
运营之光,黄有璨/电子工业出版社/2016-9-1/59.00元,8.1,1596
发现商业模式,魏炜朱武祥/机械工业/2009-1/38.00元,7.4,291
互联网世界观,李善友/机械工业出版社/2015-3,7.7,331
寻找创业沃土,[美]斯科特·A·沙恩/奚玉芹、金永红/中国人民大学出版社/2005-1/18.00元,8.2,57
自律型创业,比尔·奥莱特、BillAulet/新华都商学院/机械工业出版社/2014-9/69.00,8.4,57
互联网创业启示录,沃尔什/曹铁鸥/人民邮电/2011-11/59.00元,7.1,90
一本书读懂风险投资,（美）巴斯更/王正林/中信出版社/2011-4/42.00元,7.5,128
黑匣子思维,[英]马修·萨伊德/孙鹏/后浪丨江西人民出版社/2017-7/45.00元,8.3,331
蚁族：北京生存日记,昭/中国工人出版社/2017-1/35.00元,6.4,83
创新者的思考,大前研一/王伟/机械工业/2007-7/28.00元,7.8,142
共享经济,[美]罗宾•蔡斯/王芮/浙江人民出版社/2015-9-25/59.90元,7.2,309
为什么中国没出Facebook,谢文/凤凰出版社/2011-7-1/39.80元,8,176
在火星上退休,[美]亚当·杰佛逊/奕均/上海人民出版社/2015-5/38.00元,7.2,301
《Go it alone》单干！靠自己开创成功事业的秘诀,BruceJudson、布魯斯‧賈德森/7-09999/2005-12-1/260元,8.3,49
绿色国王,保尔·鲁·苏里策尔/1985,9.2,51
I'm Feeling Lucky,DouglasEdwards/HoughtonMifflinHarcourt/2011-7-12/USD27.00,8.8,47
一只小鸟告诉我的事,[美]比兹·斯通/顾雨佳/中信出版社/2014-11/59.00元,7.9,121
互联网思维独孤九剑,赵大伟/机械工业出版社/2014-3-20/49,7.4,727
公益創業,謝家駒、余志海/商務印書館（香港）有限公司/2009年/HK$65,8.4,57
无须等待,[美]亚历克西斯•奥海涅/李芳/浙江人民出版社/2015-1/42.90,7.2,90
硅谷生态圈,维克多W.黄(VictorW.Hwang)、等/机械工业出版社/2015-9-15/CNY45.00,8.3,33
懂报表比会营销更重要,【中】蔡丽煌/清华出版社/2013-11-1/32.00,8.4,72
我是布隆伯格,迈克尔·布隆伯格/李浚帆/中信出版社/2010-1/38.00元,8,342
钱途,杜枫/北京大学出版社/2009-2/48.00元,8.6,148
