titles,authors,nums,peoples
拉斯克尔的广告历程,[美]阿尔伯特·拉斯克尔/焦向军、韩骏/新华出版社/1998-1/13.80元,7.3,45
Google 广告高阶优化（第3版）,【美】BradGeddes(布兰德.盖兹)/宫鑫、康宁、王娜/电子工业出版社/2015-9/99.00元,8.6,16
How Brands Grow,"Sharp,Byron/2010-4/$45.14",8.2,41
阿伦斯广告学,（美）阿伦斯，（美）夏尔菲/丁俊杰/中国人民大学出版社/2008-11/98.00元,8.1,61
创建强势品牌,戴维•阿克(DavidA.Aaker)/机械工业出版社/2012-6-1/49.00元,8,68
完美陈述,[英]乔恩·斯蒂尔/田丽霞韩丹、刘寅龙/重庆出版社/2009年10月/28.00,7.3,271
超文案,朱冰/中信出版社/2015-7-14/48.00,5.9,196
改变地产策划人命运的23堂课,王涛/清华大学出版社/2012-11-1/45.00元,6.8,87
广告痴人说梦话(上下),林俊明/国际文化出版公司/2002-10/48.00元,7.8,162
软文营销从入门到精通,苏高/人民邮电出版社/2015-2-1/48.00元,6.1,60
电通“鬼十则”,[日]柴田明彦/郑燕、王婕、马洪月/中信出版社/2013-5/32.00元,7.2,104
亚太地区最成功的广告策略,艾奇逊/闾佳/机械工业出版社/2005-2/48.0,7.7,78
創意筆記本 工作力,高橋宣行/姜柏如/三采/2008/04/100.00元,8.3,20
叶茂中策划.上卷·做,叶茂中营销策划机构/机械工业出版社/2006-1/49.80元,7.3,239
創意，從無到有,JamesWebbYoung/許晉福/2015-2-24/經濟新潮社,8.3,13
Cashvertising,DrewEricWhitman/CAREERPR/2008/113.58,7.7,10
广告传奇与创意妙招,詹姆士.韦伯.扬/林以德/内蒙古人民出版社/1998-10/24.00,8,14
許舜英古著文本,許舜英/漫遊者文化事業股份有限公司/2011-1-27/NT$360,7.2,178
360度品牌传播与管理,马克・布莱尔、迈克・墨菲、胡波、理查德・阿姆斯特朗/胡波/机械工业出版社/2004-9/28.00,7.8,94
广告销售老鸟成长记,余夕仁/电子工业出版社/2009-10/28.00元,8,58
摘星的人 ,瓊安•庫芙林，譯／林渭富/滾石文化/20040901/NT$280,8.8,30
广告档案2008合订本,德国ARCHIVE/ARCHIVE/2008/720,7.1,27
关于创意我有意见,黄文博/企业管理出版社/2002-8/25.00元,7.2,150
那些全球最强悍的广告语,[法]莱昂纳尔·萨利姆/万洁/世界图书出版公司/2015-1/58.00,7.6,15
