titles,authors,nums,peoples
数据化管理,黄成明/电子工业出版社/2014-7/59.90元,8.3,366
大而不倒,安德鲁·罗斯·索尔金/巴曙松、陈剑/中国人民大学出版社/2010-9/69.80元,8.4,2240
从优秀到卓越,吉姆•柯林斯(JimCollins)/中信出版社/2009-11-1/39.00元,8.2,813
工商巨子,(美)荣・切尔诺/王恩冕等/海南出版社/2000-06/65.00,9.2,193
心若菩提,曹德旺/人民出版社/2015-1/49.00,8.9,324
文化战略,【美】道格拉斯·霍尔特、道格拉斯·卡/汪凯/商务印书馆/2013-8/52.00,9.2,116
斯坦福商业决策课,卡尔•斯佩茨勒，汉娜•温特，珍妮弗•迈耶/张源/湖南文艺出版社/2017-6/49.00,7.9,125
商业模式新生代（个人篇）,（美国）蒂姆·克拉克、（瑞士）亚历山大·奥斯特瓦德、（比利时）伊夫·皮尼厄/毕崇毅/机械工业出版社华章公司/2012-7-1/89.00元,7.7,791
富甲美国,山姆·沃尔顿、约翰·休伊/杨蓓/江苏文艺出版社/2015-6-1/49.8,8.1,961
浩荡两千年,吴晓波/中信出版社/2012-1/45.00元,8.6,1977
我在通用汽车的岁月,小艾尔弗雷德·斯隆/刘昕/华夏出版社/2005-7/39.00元,8.5,621
认同感：用故事包装事实的艺术,【美】吉姆·西诺雷利/刘巍巍、孟艳、李佳/九州出版社·阳光博客/2016-1/36.00,6.8,816
日本制造,[日]盛田昭夫、[日]下村满子/周征文/中信出版集团/2016-12-10/58.00,8,338
只有偏执狂才能生存,[美]安迪·格鲁夫/安然/中信出版社辽宁教育出版社/2002-8/22.00元,7.6,1463
22条商规,（美）里斯、（美）特劳特/寿雯/山西人民出版社/2009-1-1/28.00元,8.3,1354
海都物语,[日]盐野七生/徐越/中信出版社/2016-7-1/128元,8.7,332
销售圣经,杰弗里·吉特默/陈召强/中华工商联合出版社/2009-5/39.00元,8.1,903
蓝海战略,[韩]W.钱·金、[美]勒妮·莫博涅/吉宓/商务印书馆/2005-5/38.00元,7.7,3741
忙总管理笔记,文小芒/海南出版社/90,9,167
大道当然,王石/中信出版社/2014-3/49.00元,7.9,1196
孵化皮克斯,[美]劳伦斯·利维（LawrenceLevy）/李文远/浙江大学出版社/蓝狮子/2017-4/49.00元,8.9,243
人工智能,李开复、王咏刚/文化发展出版社/2017-5-10/CNY55.00,7.4,1220
吴晓波中国企业史三部曲完整典藏版,吴晓波/中信出版社/2012-1-1/358.00元,9,163
光环效应,[美]罗森维(PhilRosenzweig)/张湛/北京师范大学出版社/2007-9-1/32.00元,8.3,529
随机漫步的傻瓜,纳西姆·尼古拉斯·塔勒布/盛逢时/中信出版社/2012-7/39.00元,8.2,1956
"创业时, 我们在知乎聊什么?",知乎/中信出版社/2014-1/42.00元,7.4,2096
商界局外人,[美]威廉·桑代克/许佳/北京联合出版公司/2016-9/59.90,8.5,123
杰克·韦尔奇自传,（美）杰克.韦尔奇（JackWelch）、约翰.拜恩（JohnA.Byrne）/曹彦博、孙立明、丁浩/中信出版社/2004-5-1/29.00元,7.7,3604
创业的国度,"""[美]丹•塞诺（DanSenor）、[以]索尔•辛格（SaulSinger）/王跃红、韩君宜/中信出版社/2010/35.00元",7.9,1206
需求,[美]亚德里安•斯莱沃斯基（AdrianJ.Slywotzky）、[美]卡尔•韦伯（KarlWeber）/魏薇、龙志勇/浙江人民出版社/2013-6/64.9,7.7,747
零售管理,[美]迈克尔·利维/俞利军、王欣红/人民邮电出版社/2004-9/68.00元,9.2,37
当和尚遇到钻石,麦克尔·罗奇格西/京华出版社/2005-5/26.80元,8.1,1343
怎样卖龙虾,比尔·毕晓普/张恒/珠海出版社/2010年3月/39.80元,8.4,542
高难度谈话,[美]道格拉斯·斯通、布鲁斯·佩顿、希拉·汉/王甜甜/中国城市出版社/2011-2/38.00元,8.3,2532
股权战争,苏龙飞/北京大学出版社/2012-11/45.00元,8.5,560
一网打尽,[美]布拉德·斯通/李晶、李静/中信出版社/2014-1-15/49.00元,7.4,1407
采购与供应链管理,刘宝红/机械工业出版社/2012-1-20/36.00元,8.6,384
疯传：让你的产品、思想、行为像病毒一样入侵（全新修订版）,[美]乔纳•伯杰（JonahBerger）/乔迪、王晋/电子工业出版社/2016-6/68.00,8.1,184
好战略，坏战略,理查德·鲁梅尔特/蒋宗强/中信出版社/2012-10/68.00元,8.1,288
斯坦福大学创业成长课,李笑来/天津人民出版社/2016-4/46.00,8,248
资本的游戏,房西苑/机械工业出版社/2008-10/70.00元,8.5,409
自我发现与重塑,【美】彼得•德鲁克、【美】克莱顿•克里斯坦森、【美】罗伯特•奎因/刘铮筝、万艳、蒋荟蓉/中信出版社/2015-11-11/45.00元,8.5,132
胜利的法则,[日]铃木博毅/邓一多/后浪丨江西人民出版社/2017-5/45.00元,7.6,31
九败一胜,李志刚/北京联合出版公司/2014-9-1/42.00元,7.9,1235
一路向前,[美]霍华德·舒尔茨、[美]乔安·戈登/张万伟/中信出版社/2011-4-1/45.00,7.7,1479
创业之初你不可不知的融资知识,桂曙光/机械工业出版社/2010-6-1/48.00元,8.6,415
富足,彼得•戴曼迪斯(PeterH.Diamandis)、史蒂芬•科特勒(StevenKotler)/贾拥民/浙江人民出版社/2014-4-1/79.90元,7.8,469
做好领导的九大赢招,高城幸司/马金娥/南海出版公司/2013-1/29.80元,8.9,35
疯传,乔纳·伯杰(JonahBerger)/刘生敏、廖建桥/电子工业出版社/2014-1-1/CNY48.00,7.3,1048
企业参谋,大前研一/裴立杰/中信出版社/2007-1/34.00元,8.3,324
餐巾纸的背面,[美]丹·罗姆/中信出版社/2009-6/28.00元,7.5,1527
让顾客自己来定价,[美]贾格莫汉•拉古、张忠/刘媛媛/中国人民大学出版社/2012-2/45.00元,8.1,203
故事思维,[美]安妮特·西蒙斯（AnnetteSimmons）/俞沈彧/后浪丨江西人民出版社/2017-3/45.00元,7,1012
周鸿祎自述,周鸿祎/中信出版社/2014-8/45.00元,7.6,4249
创新者的处方,[美]克莱顿·克里斯坦森、杰罗姆·格罗斯曼、黄捷升/朱恒鹏、张琦/中国人民大学出版社/2015-9/89.90元,8.9,112
Case in Point,MarcP.Cosentino/BurgeePress/2005-09-05,9.1,303
指数型组织,萨利姆•伊斯梅尔(SalimIsmail)、迈克尔•马隆(MichaelS.Malone)、尤里•范吉斯特(YurivanGeest)/苏健/浙江人民出版社/2015-8-1/CNY69.90,7.7,256
创业36条军规,孙陶然/中信出版社/2011-12/39.00元,8,1262
专业主义,[日]大前研一/裴立杰/中信出版社/2006-6/28.00元,7.5,2293
统计数字会撒谎,[美]达莱尔·哈夫/廖颖林/中国城市出版社/2009-3/28.00,7.4,2280
痛点,马丁·林斯特龙/陈亚萍/中信出版集团股份有限公司/2017-4-1/CNY49.00,7.2,244
海底捞你学不会,黄铁鹰/中信出版社/2011-3/39.00元,7.2,7025
