titles,authors,nums,peoples
拍卖道,浙江大学出版社/2013-3/39.00元,7.8,15
奔腾入海（上）,吴比/中华工商联合出版社/2009-1/38.00元,5.4,21
破晓,谢雨钢/清华大学出版社/2013-7-1/48.80,7.6,142
俘获者,王云帆/上海文艺出版社/2006-5/35.00元,6.9,29
海信史,迟宇宙/海南出版社/2003-07/30.00元,6.6,15
跨越,袁卫东/中信出版社/2005-01/29.80元,6.8,28
太古集团在旧中国,张仲礼、陈曾年、姚欣荣/上海人民出版社/1991-6/4.75元,6.1,10
公司政治局,杨云高/上海三联书店/2008-01-00/38.00元,7.6,16
谁为晚餐买单--沉浮中的史玉柱和巨人集团,王建、王育/广州出版社/2000-08/23.80,7.6,10
用我们的产品让人生活更幸福,白勇/中国友谊出版公司/2014-1/48.00元,8.3,11
领先的背后,郑作时/中信出版社/2011-10/45.00元,7.8,12
Rising Tide,DavisDyer、FrederickDalzell、RowenaOlegario/HarvardBusinessSchoolPress/2004-05-27/270.00元,7.1,10
烧.com,赵旭/光明日报出版社/2001-10/25.00,7,39
这样投资更幸福,田仁灿，顾冰/中信出版社/2011-6-3/28.00元,5.9,81
黄光裕传奇,刘鸿雁/华夏出版社/2006-2/28.00元,6.8,26
我奋斗在最残酷的战场上,严旭/中信出版社/2011-2/35.00元,6.8,69
解读中关村一号IT卖场的秘密,鲁瑞清/经济日报/2007-9/36.00元,6.7,13
国美与苏宁,朱甫/中国经济出版社/2007年01月/39.8,6.2,13
本土雄心,尹小山/2008-12/39.00元,6.6,38
华润70年,朱美琼/海天出版/2009-5/25.00元,7.7,14
财富之上,周唱/浙江大学出版社/2012-9/46.00元,7.5,13
方正之道,王伟群/2012-1/65.00元,7.2,10
十亿美金的教训,林军唐宏梅/浙江大学出版社/2011-5/39.00元,6.4,275
百年老店西尔斯,阿瑟·C·马丁内斯/侯颖/中信出版社/2003-11/22.00元,6,17
德国克虏伯与中国的近代化,（德国）乔伟/天津古籍出版社/2001-8/18.00元,6,10
任正非谈国际化经营,程东升等/浙江人民出版社/2007-9/29.00元,7.1,21
马云,刘晓航/华中科技大学出版社/2010-10/35.00元,6.8,10
无设计不奢侈,任进/浙江大学出版社/2011-1/58.00元,9.1,30
决断,丰田英二/李宁、王钊杜树忱/天津科学技术出版社/1989年6月/2.5元,7.8,10
狼性管理在华为,王永德/武汉大学/2010-4/29.80元,6.4,10
战略与结构,[美]艾尔弗雷德·D.钱德勒/孟昕/云南人民出版社/2002-10/55.00元,7.1,65
国商,言夏/当代中国/2008-3/30.00元,7.4,21
中集,郑贤玲/2012-9/58.00元,7.5,10
苏宁成长的真谛,成志明/机械工业/2006-9/32.80元,6.8,29
从互联到新工业革命,刘云浩/清华大学出版社/2016-12-1/CNY29.80,6.9,323
风云纪,王自亮/红旗出版社/2011-2/35.00元,7.3,29
跨国风云,本社/中信出版/2007-2/38.00元,8.6,18
狮子银行,[英]戴维·凯纳斯顿、[英]理查德·罗伯茨/张建敏/中信出版社/2015-2/88.00元,7.1,36
荣家企业史料 （下）,上海社会科学经济研究所编/上海人民出版社/1980/3.55元,6.4,10
巨人不死密码,彭征/中国民法/2007-8/32.00元,7.7,72
企业1000年,冯苏京/2010-1/58.00元,5,10
拍卖槌相伴的岁月,范干平/浙江大学出版社/2013-4-8/58,7.2,10
兴衰30年,叶康涛、冷元红、何建湘/中信出版社/2015-7-1,7,11
商学有道,郑作时/2012-7/45.00元,6.6,10
微软内幕,2011-1/32.00元,7.5,17
广信广汇,2010-10/48.00元,9.2,10
当年下海那些人,陈斯文/天津社科院/2011-7/39.80元,8,10
阿里巴巴,郑作时/浙江人民出版社/2007-10/30.00元,7.4,378
激荡三十年,吴晓波/中信出版股份有限公司/2009-5/380.00元,6.2,10
行者王石,朱仰晴//樊俊杰/现代/2010-3/30.00元,8.5,47
信息改变了美国,（美）阿尔弗雷德·D·钱德勒、（美）詹姆斯·W·科塔达/邱艳娟、万岩/上海远东/2008-1/58.00元,5.9,51
American Express,PeterZ.Grossman/RandomHouseValuePublishing/1987-6-3/USD.99,7.1,10
宜家家居攻略,陈广/南方日报出版社/2005-1/32.00元,6.4,62
马云教典,海华/华中科技大学出版社/2009-7/38.00元,6.4,17
近代中国企业,沈祖炜/上海社会科学院出版社/1999-12-01/24.00元,6.9,10
柳井正全传,李鑫/中国华侨出版社/2012-2-1/32.00元,6.6,69
蓝海战略,[韩]W.钱·金、[美]勒妮·莫博涅/吉宓/商务印书馆/2005-5/38.00元,7.7,3741
成为乔布斯,[美]布伦特·施兰德、[美]里克·特策利/陶亮/中信出版集团/2016-10/69.00元,8.9,1070
我在通用汽车的岁月,小艾尔弗雷德·斯隆/刘昕/华夏出版社/2005-7/39.00元,8.5,621
马云,刘晓航/华中科技大学出版社/2010-10/35.00元,7,10
决断,丰田英二/李宁、王钊杜树忱/天津科学技术出版社/1989年6月/2.5元,8.4,10
阿里传,波特·埃里斯曼/张光磊、吕靖纬、崔玉开/中信出版社/2015-9-15/CNY49.00,6.6,427
大而不倒,安德鲁·罗斯·索尔金/巴曙松、陈剑/中国人民大学出版社/2010-9/69.80元,5,2240
黑莓帝国,阿拉斯泰尔·斯维尼/李杰/华夏/2010-8/32.00元,6,202
兴衰30年,叶康涛、冷元红、何建湘/中信出版社/2015-7-1,7.1,11
逐日英雄施正荣,辛华/中信出版社/2008-9/39.00元,7.8,10
窥见上帝秘密的人,约翰·D·洛克菲勒/许芳芳/2009-8/20.00元,7.3,41
烧.com,赵旭/光明日报出版社/2001-10/25.00,7.9,39
奔腾入海（上）,吴比/中华工商联合出版社/2009-1/38.00元,8.3,21
疯狂过山车,梅里登/袁丽琴/2009-4/29.00元,7.5,10
马云,刘晓航/华中科技大学出版社/2010-10/35.00元,7.5,10
参与感,黎万强/中信出版社/2014-8/56.00元,6.3,7429
黄光裕如是说,马宁、龚文波、朱甫/中国经济出版社/2008-3-1/39.80元,8.4,43
大而不倒,安德鲁·罗斯·索尔金/巴曙松、陈剑/中国人民大学出版社/2010-9/69.80元,8.3,2240
疯狂过山车,梅里登/袁丽琴/2009-4/29.00元,7.3,10
管理百年,斯图尔特·克雷纳/邱琼、钟秀斌、陈遊芳/海南出版社/2003-9/32.00元,7.6,233
淘宝技术这十年,子柳/电子工业出版社/2013-5/45.00元,7.2,2013
中国互联网风云16年,武帅/2011-9/45.00元,6.4,25
水煮三国,成君忆/中信出版社/2003-07/26.00元,8.5,7243
柳井正全传,李鑫/中国华侨出版社/2012-2-1/32.00元,7.5,69
上海银行发展之路,傅建华/中国金融出版社/2005-6/48.00元,9,10
德国克虏伯与中国的近代化,（德国）乔伟/天津古籍出版社/2001-8/18.00元,6.4,10
柳井正全传,李鑫/中国华侨出版社/2012-2-1/32.00元,7.6,69
中国互联网风云16年,武帅/2011-9/45.00元,7.4,25
只有偏执狂才能生存,[美]安德鲁.葛洛夫/安然/光明日报出版社/1997-5/15.00元,7.7,174
当年下海那些人,陈斯文/天津社科院/2011-7/39.80元,6.7,10
中国水泥业的发展,田岛俊雄、朱荫贵/中国社会科学出版社/2011-3/39.00元,7.7,10
一路向前,[美]霍华德·舒尔茨、[美]乔安·戈登/张万伟/中信出版社/2011-4-1/45.00,8.8,1479
中国经济论坛-告别商界 牟其中与南德集团沉没的思考,1999-1/25.00元,9,10
美商琼记洋行在华经商情况的剖析（1858-1862）,[美]斯蒂芬·洛克伍德/章克生、王作求/上海社会科学院出版社/1992/5.40元,9.1,10
Rising Tide,DavisDyer、FrederickDalzell、RowenaOlegario/HarvardBusinessSchoolPress/2004-05-27/270.00元,7.4,10
听任志强怎么说,任志强/浙江大学出版社/2013-9/32.00,7.3,13
杰克·韦尔奇自传,（美）杰克.韦尔奇（JackWelch）、约翰.拜恩（JohnA.Byrne）/曹彦博、孙立明、丁浩/中信出版社/2004-5-1/29.00元,6.8,3604
摩根财团,罗恩·彻诺/金立群/中国财政经济出版社/2003-9/168.00元,8.7,280
大败局Ⅱ,吴晓波/浙江人民出版社/2010-7-1/29.0,8,49
当我们旅行,[澳]托尼·惠勒、莫琳·惠勒/杨桦/生活·读书·新知三联书店/2006-10/21.00元,8,3527
富甲美国,山姆·沃尔顿、约翰·休伊/杨蓓/江苏文艺出版社/2015-6-1/49.8,8.1,961
上海银行发展之路,傅建华/中国金融出版社/2005-6/48.00元,6.7,10
听任志强怎么说,任志强/浙江大学出版社/2013-9/32.00,7.9,13
Borland传奇,李维/电子工业出版社/2003-4-1/28.00,6.8,554
狮子银行,[英]戴维·凯纳斯顿、[英]理查德·罗伯茨/张建敏/中信出版社/2015-2/88.00元,8.1,36
零售的哲学：7-Eleven便利店创始人自述,[日]铃木敏文/顾晓琳/江苏文艺出版社/2014-12-1/36,8.3,3074
