titles,authors,nums,peoples
销售洗脑,[美]哈里•弗里德曼（HarryJ.Friedman）/施轶/中信出版社/2016-8-18,7.9,134
洞见远胜创意,菲尔·杜森伯里/宋洁/上海远东出版社/2014-10-1/38,8.3,164
蓝海战略,[韩]W.钱·金、[美]勒妮·莫博涅/吉宓/商务印书馆/2005-5/38.00元,7.7,3741
哈佛最受欢迎的营销课,扬米·穆恩/王旭/中信出版社/2012-9/42.00元,7.8,649
SEO实战密码,昝辉Zac/电子工业出版社/2015-7/69.00元,8.3,747
消费者行为学,迈克尔·所罗门(MichaelR.Solomon)、卢泰宏、杨晓燕/卢泰宏、杨晓燕/中国人民大学出版社/2014-1-1/CNY68.00,8.4,84
2小时品牌素养,邓德隆/2009-1/38.00元,8,513
怎样销售你自己,吉拉德/王淑贤/中国人民大学出版社/2007-5/30.00元,7.7,185
啤酒与尿布,高勇/清华大学出版社/2008-11/38.00元,7.5,237
广告人手记,叶茂中/朝华出版社/2011-10/45.00元,7.6,603
场景式营销,向世康/北京时代华文书局/2017-6/58,7,15
小米生态链战地笔记,小米生态链谷仓学院/中信出版集团/2017-5/56.00,8.1,571
零售管理,[美]迈克尔·利维/俞利军、王欣红/人民邮电出版社/2004-9/68.00元,9.2,37
我看电商,黄若/电子工业出版社/2013-6-1/CNY39.00,8.3,1006
营销想象力,西奥多·莱维特/辛弘/机械工业出版社/2007-6/38.00元,8.2,162
用脑拿订单,孙路弘/无/中国人民大学出版社/2006-1/29.80元,7.8,447
发现利润区,亚德里安・J・斯莱沃斯基、大卫・J・莫里森、劳伦斯・H・艾伯茨、保罗・G・克利福德/中信出版社/2003-8/29.00元,8,230
场景革命,吴声/机械工业出版社/2015-7-1/59.00元,6.3,1020
社群营销,秋叶、秦阳、陈慧敏/机械工业出版社/2016-6/49.90元,7.8,115
品牌洗脑（珍藏版）,[美]马丁•林斯特龙（MartinLindstrom）/赵萌萌/中信出版社/2016-8-1/49.00,8.1,180
零售心理战,铃木敏文/顾晓琳/江苏凤凰文艺出版社/2015-6-1/39,7.5,545
超越对手,张志、萧秋水、宋利/机械工业出版社/2010/35.00元,8.5,258
爆款：如何打造超级IP,【美】安妮塔•埃尔伯斯/杨雨/中信出版社/2016-1-10/49,6.6,361
销售中的心理学,崔西/中国人民大学出版社/2007-4/32.00元,7.5,343
洞人心弦,菲尔·杜森伯里/宋洁/上海远东/2008-1/35.00元,8.3,385
奢侈品品牌管理,"米歇尔·舍瓦利耶（MichelChevalier）、热拉尔德·马扎罗夫(GeraldMazzalovo)/卢晓/格致出版社,上海人民出版社/2008/45.00元",7.6,320
微商创业者手册,凌教头/机械工业出版社/2015-1-1/CNY59.00,7.2,94
增加19倍銷售的廣告創意法,JohnCaples/劉怡伶、柯理詮/滾石文化/20010530/NT$470,9.1,23
社交红利,徐志斌/北京联合出版公司/2013-8/42,6.8,980
体验经济,（美）B.约瑟夫·派恩（B.JosephPineⅡ）詹姆斯H.吉尔摩（JamesH.Gilmore）/毕崇毅/机械工业出版社/2012-3/48.00元,7.7,116
做单,胡震生/五洲传播出版社/2009-7/36.00元,7.5,4721
输赢,付遥/北京大学出版社/2006-7/39.80元,7.6,6823
社群营销,秋叶、秦阳/机械工业出版社/2015-6/49.90元,7,263
定价战略与战术,（美）纳格、（美）霍根、（美）王佳茜/龚强/华夏出版社/2008-11/39.00元,8.2,37
全新销售,丹尼尔•平克(DanielH.Pink)/闾佳/浙江人民出版社/2013-7-1/CNY49.90,8.1,138
新定位,[美]杰克·特劳特、史蒂夫·瑞维金/李正栓、贾纪芳/中国财政经济出版社/2002-10/39.80元,7.6,724
营销革命3.0,（美）菲利普·科特勒（PhilipKotler）、（印度尼西亚）何麻温·卡塔加雅（HermawanKartajaya）、伊万·塞蒂亚万（IwanSetiawan）/毕崇毅/机械工业出版社/2011-3-1/36.00元,7.5,468
爆品战略,金错刀/北京联合出版公司/2016-7-1/56.00,6.3,701
不小心做了销售,克里斯·莱特尔/扈喜林/中信出版社/2009-3/29.00元,8.5,79
尖叫感：互联网文案创意思维与写作技巧,马楠/北京理工大学出版社/2016-7-20/CNY56.00,7.5,312
伏牛传,张天一/机械工业出版社/2016-5/39.00元,7.5,160
长尾理论2.0,安德森/乔江涛、石晓燕/中信出版社/2009-5/42.00元,7.9,1512
一个媒体推手的自白,瑞安·霍利迪/潘丽君/广东人民出版社/2013-6/38.00元,7.5,225
公关第一 广告第二,[美]阿尔·里斯、劳拉·里斯/罗汉、虞琦/上海人民出版社/2004-04/32.00元,6.9,1015
竞争战略,迈克尔•波特(MichaelE.Porter)/陈小悦/华夏出版社/2005-10-1/29.00元,8.6,788
大客户销售,孙路弘/浙江人民出版社/2012-8/49.90元,8.2,97
增长黑客实战,范冰、张溪梦/电子工业出版社/2017-6/59.00,7.7,100
奢侈品战略,（法）VincentBastien、Jean-NoelKapferer/谢绮红/机械工业出版社/2013-11/99.00,7.7,78
广告心理,[日]仁科贞文/外语教学与研究出版社/2008-7/30.00元,7.7,304
你的团队需要一个会讲故事的人,安妮特·西蒙斯/江苏凤凰文艺出版社/2016-5-10/36,5.7,593
反直觉询问,莱恩·莱韦斯克/刘国华/北京联合出版公司/2016-5-1/CNY46.00,7.6,122
把任何东西卖给任何人,乔•吉拉德/当代中国出版社/2011-5/35.00元,8.1,73
市场营销管理,菲利普·科特勒/菲利普·科特勒/中国人民大学出版社/2003-1/76.0,8.4,123
部落：一呼百应的力量,高汀(Godin.S.)/刘晖/中信出版社/2009-7/26.00元,7.1,553
谁偷走了我的客户（第2版）,【美】哈维•汤普森（HarveyThompson）/赵玲/北京联合出版公司/2016-6-18/46.00元,7.7,99
知的资本论,[日]增田宗昭/王健波/中信出版社/2017-3/58.00元,8.1,365
一个人的电商,许晓辉/电子工业出版社/2015-5-1/CNY59.00,7.3,295
奥美的数字营销观点,[美]肯特·沃泰姆、[美]伊恩·芬威克/台湾奥美互动营销公司/中信出版社/2009-6/45.00元,7.1,541
传播的法则,[日]伊藤直树/高森赵晨/江苏美术出版社/2014-1/39.00元,7.4,122
活动策划完全手册,朱迪•艾伦(JudyAllen)/旅游教育出版社/2006-6-1/28.00元,7.2,418
重新定位,（美）杰克·特劳特（JackTrout）史蒂夫·里夫金（SteveRivkin）/谢伟山、苑爱冬/机械工业出版社/2011-7/48.00元,7.3,263
热点,【美】马克•舍费尔（MarkShaefer）/曲秋晨/中国人民大学出版社/2017-1/49.00,7.5,109
管理品牌资产,戴维·阿克/吴进操、常小虹/机械工业出版社/2012-3/42.00元,7.8,235
消费心理学,刘军、王砥主编/机械工业出版社/2009-4/29.00元,7.2,73
销售巨人2-SPIN2非传统销售模式实战手册,尼尔，雷克汉姆/企业管理出版社/2001-05/22.00,8.6,42
科特勒市场营销教程,〔美〕加里・阿姆斯特郎/俞利军/华夏出版社/2004-10/75.00元,8.4,90
文案力,盧建彰/天下文化/2016-2-1/NT330,7.7,49
聚焦法则,里斯/王笑歌/上海人民出版社/2003-1/38.00元,8.5,62
品牌的技术与艺术,葉明桂/时报出版,8.8,144
很久很久以前,玛格丽特・马克、卡罗・S・皮尔森/许晋福、戴至中、袁世珮/汕头大学出版社/2003-9-1/38.00,8.9,59
客户关系管理,邓.皮泊斯/中国金融出版社/2006-1/58.00元,8.3,22
创建强势品牌,戴维•阿克(DavidA.Aaker)/机械工业出版社/2012-6-1/49.00元,8,68
消费者行为学,（美）卡纽克/华东师大/2002-04-01/63.0,8.1,59
