titles,authors,nums,peoples
实战广告案例·全案,穆虹李文龙/中国人民大学出版社/2005-1/108.0,7.4,60
怎样成交每一单,乔·吉拉德、舒克/刘志军等译/中国人民大学出版社/2007-5-1/28.00元,7.9,55
摘星的人 ,瓊安•庫芙林，譯／林渭富/滾石文化/20040901/NT$280,8,30
游戏设计基础,ErnestAdams、AndrewRollings/王鹏杰、董西广、霍建同/机械工业出版社/2009-1/69.00元,7.5,73
丙方的观点,王志纲/人民出版/2007-5/45.00元,7.2,45
手机应该这样卖,周鑫/2011-6/39.00元,6.5,10
行成于思,王志纲/人民出版/2007-1/45.00元,5.4,38
淘宝天猫电商运营与数据化选品完全手册,老夏/电子工业出版社/2016-9-1/69.00,6.6,180
人本游戏:游戏让世界更美好,王世颖/电子工业出版社/2014-3-1/CNY49.00,8.1,94
正道诡道,彭一峰/2009-5/28.00元,7.1,71
现代商务策划管理教程,史宪文/中国经济出版社/2007-1/29.00元,7.4,10
房地产项目全程策划,贾士军/广东经济出版社/2003-11/65.00,7.1,10
综合项目和公众活动统筹法,李卫星/机械工业出版社/2005-6/21.0,8,10
图书选题策划学,宋连生/中国水利水电出版社/2006-1/16.0,7.1,10
温州人,黄晓阳/江苏文艺出版社/2007-7/35.00元,7.9,15
品牌策划,陈放/蓝天出版社/2005-5/42.80元,6.8,10
名师设计教学创新思维系列,肖勇等编著/湖北美术出版社/2006-1/45.00元,7.1,35
广告企划,杨朝阳/2007-8/34.80元,7.3,31
如何成为广告策划高手,西等、荆红艳/荆红艳/北京大学出版社/2005-4/28.00元,6.8,12
成功开店营运手册,肖建中/中国经济出版社/2006-1/35.00元,7.6,10
商业地产生死策划（上下册）,段宏斌/2010-3/398.00元,6.2,10
展会形象策划专家,阿诺德/周新/中国水利水电出版社/2004-06-01/38.00元,5.6,10
PPT演义,陈魁编著/电子工业出版社/2009-5/89.00元,7.3,378
三天造就金牌地产策划人,余源鹏编/中国经济/2010-5/30.00元,6.8,10
顶尖策划5,雷鸣雏主编/企业管理/2007-1/75.00元,7.7,11
地产策划人兵法,克而瑞(中国)信息技术有限公司/中国建筑工业/2010-1/88.00元,6.9,10
博物馆策展实践,姚安/科学出版社/2010-5/80.00元,7.4,23
行成于思--王志刚中国走势思考录,王志纲/广东经济出版社/1998-04/29.80,6.8,10
设计要怎么策划,（韩）罗建/博硕文化/电子工业出版社/2011-9-1/48.00元,5.6,30
国际4A广告公司媒介策划基础,朱海松/中国市场/2009-6/34.80元,7.4,10
策略为王,李方毅/新华出版社/2007-1/25.00元,6.3,10
新闻传播的策划与组织,蔡雯/新华出版社/2001-5/19.80元,6.9,10
广告策划创意,张惠辛/上海画报出版社/2006-3/45.00元,7.6,17
何必珍珠慰寂寥Ⅱ,戴帽子的鱼/湖南少年儿童出版社/2014-9/25.00元,6.9,55
活动策划,张展/第1版(2006年6月1日)/2006年6月1日/38.0,7.7,10
艺术现场,龚云表/2008-1/68.00元,6.4,10
谋之刃,张建华/南海出版公司/2005-9/32.00元,7.3,63
蓝海中国战略从决策到执行,雾满拦江/北京民航图书发行部（原中国民航出版社）/2006-12/38.00元,6.9,10
网站策划师成长之路,刘志//佟晓//许银龙/机械工业/2011-6/39.00元,6.6,13
不懂策划怎能成功,中国言实出版社/2008-4/28.00元,7.1,14
总经理诡计,周帆/总经理、总经理/南方日报出版社/2002-11-1/39.00元,6.7,10
产品策划营销,浅田和实/陈都伟/2007-11/28.00元,6,10
旅游产品的营销与推销,(美)伯克(美)雷斯尼克叶敏等/电子工业/2004-1/26.00元,7,10
电视人侃策划另类思维做节目,王阳/中国广播电视/2007-1/30.00元,7.8,25
情感营销,李光斗/北京大学出版社/2008-1/36.00元,7.6,14
全媒体创意策划攻略,中央编译出版社/2011-12/39.00元,6.9,10
高层写字楼建筑策划,郑凌/机械工业出版社/2003-7/27.0,5.9,10
策划 世联报告,世联地产/机械工业出版社/2009/60.00,6.5,10
建筑策划,伊迪丝·谢里/中国建筑工业出版社/2006-2/68.00元,5,10
炒作？没事找事的事件营销,冷振兴/企业管理出版社/2004-02/29.80,6.8,25
高橋憲行 企劃書聖經,高橋憲行/周幸/大是文化有限公司/2008/02/13/280TWD,7.9,10
策划力,徐大伟/2011-10/38.00元,6.9,10
媒体策划与营销,蒙南生/北京广播学院出版社/2007-1/26.80元,6.2,11
指尖上的营销,张继明/中国财富出版社/2013-2/32.00元,6,10
如何成为创意人,成锐/中国建筑工业/2008-8/59.00元,6.6,151
资产策划,世联地产/2012-8/32.00元,6.6,10
新闻报道策划,赵振宇/武汉大学出版社/2008.5/27.00元,7.3,14
我策划了汉城奥运会,朴世直/姜镕哲/中信出版社/２００５/59.00元,6.9,10
世界著名旅游策划实战案例,沈祖祥//2004-1/25.00元,7.2,10
商弑,韩志辉/2012-9/36.00元,5.1,10
策划成功的五大策略,埃里克·爱伦包夫/陈述/团结出版社/2004-1/16.0,7.8,10
广告公司运作策划,田长广/北京大学/2007-7/48.00元,7,10
策划原理与实务,冷兆松刘向前/经济管理出版社/2003-5/19.5,6.7,10
谁比谁傻,赵强、王俊/作家出版社/1998-1-1/19.50元,7.6,17
乡村旅游规划原理与方法,王云才/科学出版社/2006-5/38.00元,7,10
如何成为杰出的广告文案撰稿人,陈培爱/厦门大学出版社/2002-7/18.0,7.1,10
策划学,吴粲/2012-5/69.00元,7.8,10
封口,潦寒/机械工业/2012-1/32.00元,6.2,11
策划天才洪代理,河佑锡/邓倩/世界图书出版公司/2009-10/19.00元,7,10
广告与营销策划,2013-1/88.00元,8.4,11
广告创意完全手册,（德）普瑞根/初晓英/中国青年出版社/2005-7/138.00,8.5,157
影视策划实务,2012-9/55.00元,8.1,10
企业形象策划－CIS导入,叶万春//万后芬//蔡嘉清/东北财大/2011-10/28.00元,9,10
策略为王,李方毅/新华出版社/2007-1/25.00元,8.4,10
泛广告时代的幻象,陈小云/复旦大学出版社/2006-12/40.00元,8.3,334
全景探秘游戏设计艺术,JesseSchell/吕阳、蒋韬、唐文/电子工业出版社/2010-6/69.00元,7.3,358
我与兰登书屋,贝内特·瑟夫/彭伦/人民文学出版社/2007年2月/30.00,8,805
旅游地产开发概论,北京旅游教育出版社/2012-5/36.00元,7,10
图书选题策划导论,易图强/中国人民大学出版社/2009-5-1/39.80元,8.2,19
资产策划,世联地产/2012-8/32.00元,8.1,10
房地产策划,2010-10/42.00元,7.5,10
思考，快与慢,[美]丹尼尔·卡尼曼/胡晓姣、李爱民、何梦莹/中信出版社/2012-7/69.00元,7.9,7566
企业营销策划,叶万春编/2004-1/35.00元,5.6,0
上帝掷骰子,陈灼/文汇出版社/2005年12月/25.00,7.9,374
商务策划流程,聂慧/广东经济出版社有限公司（广东经济出版社/2007-4/35.00元,8.5,10
我策划了汉城奥运会,朴世直/姜镕哲/中信出版社/２００５/59.00元,8.1,10
营销策划8大法宝,舒庆/2009-2/29.80元,8.1,10
艺术现场,龚云表/2008-1/68.00元,8.4,10
广告创意完全手册,（德）普瑞根/初晓英/中国青年出版社/2005-7/138.00,8.3,157
广告创意完全手册,（德）普瑞根/初晓英/中国青年出版社/2005-7/138.00,8.5,157
上帝掷骰子,陈灼/文汇出版社/2005年12月/25.00,7.9,374
成功开店营运手册,肖建中/中国经济出版社/2006-1/35.00元,7,10
地铁智慧之旅,凌启渝/中国福利会/2005-8/14.20元,8.6,10
新闻无穷动,孙军/2008/28.00元,7.8,10
银行个人业务营销技巧,马蔚华/清华大学/2008-2/39.80元,6.9,13
品牌维他命,维传凯普传播机构/中国市场出版社/2008-1/56.00元,7.1,16
银行公司业务营销技巧,马蔚华/清华大学出版社/2008-2/35.00元,6.9,10
企业文化建设案例选编,本社/中国财经/2007-11/39.00元,7,10
商业地产真相,张家鹏/2008-4/56.00元,8.2,58
巴黎．色彩魔法空間,EditionsdeParis/蔡欣芸/田園城市文化/2008-1-10/TWD260,7.8,421
