titles,authors,nums,peoples
浪潮之巅,吴军/电子工业出版社/2011-8/55.00元,9.1,18904
知的资本论,[日]增田宗昭/王健波/中信出版社/2017-3/58.00元,8.1,365
谈判是什么,(英)盖温.肯尼迪/陈述/中国宇航出版社/2004-10-1/29.00,8.6,893
系统之美,[美]德内拉•梅多斯/邱昭良/浙江人民出版社/2012-8/56.90元,8.2,875
华杉讲透孙子兵法,华杉/江苏文艺出版社/2015-4/39.80元,8.8,991
给创业小白的财报书,[美]道恩·福图普鲁斯/曾琳/江西人民出版社·后浪出版公司/2016-10/39.80,9,97
公司理财,斯蒂芬A.罗斯/机械工业出版社/2007-1/78.00元,8.8,1304
职场动物进化手册,雾满拦江/陕西师范大学出版社/2004-09/25.00,8.4,1695
谈判力,[美]罗杰·费希尔/王燕、罗昕/中信出版社/2009-4/22.00元,7.7,918
不懂项目管理，还敢拼职场,李治/湖南文艺出版社/2011-6/32.00元,7.9,2436
说服,杰瑞·魏斯曼/科学出版社/2005-5/28.00元,8.4,362
忙总管理笔记,文小芒/海南出版社/90,9,167
组织行为学,罗宾斯/人民大学/2005-1/68.00元,8.3,925
麦肯锡入职培训第一课,[日]大岛祥誉/颜彩彩/北京联合出版公司·后浪出版公司/2015-5/28.00元,7.1,602
数据化管理,黄成明/电子工业出版社/2014-7/59.90元,8.3,366
从优秀到卓越,吉姆•柯林斯(JimCollins)/中信出版社/2009-11-1/39.00元,8.2,813
权力,[美]杰弗瑞·菲佛/杨洋/中国人民大学出版社/2012-2/49.80元,8,1049
人月神话,[美]弗雷德里克·布鲁克斯/汪颖/清华大学出版社/2002-11/29.80元,8.4,2846
管理学,罗宾斯/孙健敏/人民大学/2004-1/68.00元,8.4,1547
我在通用汽车的岁月,小艾尔弗雷德·斯隆/刘昕/华夏出版社/2005-7/39.00元,8.5,621
德鲁克管理思想精要,德鲁克/李维安/机械工业出版社/2007-6/45.00元,9.1,205
带人的技术,[日]石田淳/孙玉珍/北京联合出版公司·后浪出版公司/2014-11/36.00元,6.9,733
架构即未来：现代企业可扩展的Web架构、流程和组织(原书第2版),MartinL.Abbott、MichaelT.Fisher/陈斌/机械工业出版社/2016-4-15/99.00,8.4,113
只有偏执狂才能生存,[美]安迪·格鲁夫/安然/中信出版社辽宁教育出版社/2002-8/22.00元,7.6,1463
看得见的手,小艾尔弗雷德·D.钱德勒/重武/商务印书馆/1987-09/26.00元,9,136
22条商规,（美）里斯、（美）特劳特/寿雯/山西人民出版社/2009-1-1/28.00元,8.3,1354
采购与供应链管理,刘宝红/机械工业出版社/2012-1-20/36.00元,8.6,384
参与感,黎万强/中信出版社/2014-8/56.00元,7.5,7429
专业主义,[日]大前研一/裴立杰/中信出版社/2006-6/28.00元,7.5,2293
精力管理,（美）吉姆·洛尔/付涛/中信出版社/2003-12/25.00元,7.8,1295
马奇论管理,[美]詹姆斯·马奇/丁丹/东方出版社/2010-12/38.00元,9.1,109
蓝海战略,[韩]W.钱·金、[美]勒妮·莫博涅/吉宓/商务印书馆/2005-5/38.00元,7.7,3741
策略思维,阿维纳什・K・迪克西特、巴里・J・奈尔伯夫/王尔山/译、王则柯/校/中国人民大学出版社/2003年7月第3版/39.00元,8.5,1694
杰克·韦尔奇自传,（美）杰克.韦尔奇（JackWelch）、约翰.拜恩（JohnA.Byrne）/曹彦博、孙立明、丁浩/中信出版社/2004-5-1/29.00元,7.7,3604
时间管理,ThomasA.Limoncelli/O'ReillyTaiwan公司/东南大学出版社/2007/26.00元,8.3,606
至关重要的关系,里德·霍夫曼、本·卡斯诺瓦/钱峰/北京联合出版公司/2013-5/39.80,7.8,748
人力资源管理,加里·德斯勒/中国人民大学出版社/2005-9/68.00元,8.1,308
孵化皮克斯,[美]劳伦斯·利维（LawrenceLevy）/李文远/浙江大学出版社/蓝狮子/2017-4/49.00元,8.9,243
光环效应,[美]罗森维(PhilRosenzweig)/张湛/北京师范大学出版社/2007-9-1/32.00元,8.3,529
你的灯亮着吗?,(美国)唐纳德・高斯等著/章柏幸、刘敏/清华大学出版社/2003-1/25.00元,8.1,3193
做事的常识,[日]小仓广/郭乃雯/北京联合出版公司·后浪出版公司/2015-9/32.00元,7.2,806
干法,(日)稻盛和夫/曹岫云/华文出版社/2010-5/36.00元,7.5,2407
高难度谈话,[美]道格拉斯·斯通、布鲁斯·佩顿、希拉·汉/王甜甜/中国城市出版社/2011-2/38.00元,8.3,2532
交办的技术,[日]小仓广/林佑纯/北京联合出版公司·后浪出版公司/2015-6/36.00元,8,325
