titles,authors,nums,peoples
股市晴雨表,威廉.彼得.汉密尔/海南出版社三环出版社/1999-10/18.00元,7.5,201
投资中最重要的事,斯蒂芬·彭曼/戴德明、周华/中国人民大学出版社/2015-11-1/49.00元,6.8,19
论性,曹仁超/中国人民大学出版社/2010.6/39.80元,7.7,272
100倍超级强势股,[美]杰西·C.斯泰恩（JesseC.Stine）/谭浩/广东经济出版社/2015-11-1/49.80元,8.8,72
从零开始学手机炒股,龙飞/人民邮电出版社/2015-10/45.00元,8.8,24
投机者的扑克,扁虫鱼/机械工业出版社/2014-3/50.00,8.2,138
股市奇才,杰克·施瓦格/张帅/海南出版/2006-7/28.00元,7.4,164
华尔街点金人,杰克.斯沃吉尔/程永顺/西苑出版社/1998-7/19.80元,8,78
缠论解析,江南小隐/中国宇航出版社/2012-7-1/23.00元,6.9,143
千炼成妖,花荣/经济管理出版社/2013-8-1/CNY52.00,6.5,91
公司基本面分析实务,中能兴业/地震/2012-3/35.00元,8.7,323
金融心理学,拉斯·特维德/周为群/中国人民大学出版社/2003-11/29.00元,7.8,1071
巴菲特的投资组合(珍藏版),（美）罗伯特•哈格斯特朗/江春/2013-10/35.00,7.6,76
法柏报告,戴维・法柏、肯・柯森/陈琇玲、蓝美贞、高仁君/中信出版社/2003-5/20.00元,7.8,91
机械交易系统,威斯曼/木亦/广东经济出版社/2007-5/38.00元,7.9,133
巴菲特法则,(美)玛丽·巴菲特//戴维·克拉克|译者:李凤/李凤/中信/2008-10/42.00元,7.5,158
菜鸟看财务报表一学就会,耐力投资/中国铁道出版社/2013-10-1/39.80元,7.5,155
非理性繁荣（第二版）,罗伯特J希勒/李心丹、陈莹/中国人民大学出版社/2014-1-1/48.00元,8.3,96
日本蜡烛图教程,(SteveNison)史蒂夫•尼森/何平林/天津社科院/2010-8/60.00元,7.6,110
投资丛林,加里斯洛夫斯、托米/王飞、侯贝贝/中信出版社/2009年/39.00元,7.8,115
操盘手,花荣/中国城市出版社/2007-6/36.00元,6.5,665
缠中说禅选集,缠中说禅、股海盗贼/九州出版社/2015-1/36,8,24
现金流量与证券分析,（美）肯尼斯・汉科／尤西・李凡特/张凯／刘英／等/华夏出版社/2001-01/45.00,7.8,32
