titles,authors,nums,peoples
智者傲行,陆东/文化传信有限公司/2009-3/hk$98,8.3,87
克罗谈投资策略,斯坦利・克罗/刘福寿/中国经济出版社/2003-7-1/15.00元,8,693
理财不用懂太多,那一水的鱼/中国经济出版社/2016-5,7.1,99
快乐致富-获得财富与快乐的7个策略,吉姆·罗恩/张恩聊/航空工业出版社/2006-8/22.00元,7.9,41
金钱游戏,张建军编/地震出版社/2004-4/18.00元,8.5,343
有钱人和你想的不一样,托马斯·斯坦利/吴婷婷/华文/2010-12/39.80元,6.3,100
富爸爸销售狗,张春波、张疆、布莱尔・辛格/张春波、张疆/电子工业出版社/2004-7-1/23.00,7.1,356
股市长线法宝,杰里米J.西格尔/范霁瑶/机械工业出版社/2009-1/48.00元,8.2,269
世界是部金融史,陈雨露，杨栋/2013-1/49.80元,8,104
奥马哈之雾,任俊杰、朱晓芸/机械工业出版社/2010-9/39.00元,8.1,294
赢家法则,博多·舍费尔/南海/2010-8/26.00元,7.4,72
股票入门与技巧,杉村富生、于广涛/科学出版社/2012-1/28.00元,7,21
避开股市的地雷,张化桥/中国人民大学出版社/2010-1/36.00元,7.9,457
价值投资,詹姆斯·蒙蒂尔/刘寅龙/机械工业/2011-4/58.00元,8,68
为什么我们总缺钱,金喜/电子工业出版社/2014-1-30/36.00,7,56
财源滚滚,罗伯特·G·艾伦/黎莱芳/世界图书出版公司/2002-1-1/23.8,7.5,24
The Millionaire Next Door,ThomasJ.Stanley、WilliamD.Danko/PocketBooks/1998-10-01/GBP9.99,8.1,48
走向财务自由的投资组合,[美]亚历山大·格林/粟之敦/中国人民大学出版社/2012-4/39.99元,6.9,43
我最想要的理财书,李南/广西师范大学出版社/2010-5/29.00元,6.9,437
外汇交易进阶,魏强斌/经济管理出版社/2008-3/38.00元,7.8,219
期货交易策略,斯坦利•克罗(StanleyKroll)/山西人民出版社/2013-3-1/45.00元,8.6,241
35岁前要上的33堂理财课,曾志尧/中信出版/2008-9/36.00元,5.6,1038
运用财务报表进行企业分析与估价,克里舍・G・佩普、保罗・M・希利、维克多・L・伯纳德/2004-1/85.00元,8.3,43
理财工具箱,刘彦斌/中信出版社/2009-10/24.00元,6.4,193
查理·芒格的智慧,[美]RobertG.Hagstrom/郑磊、袁婷婷、贾宏杰/机械工业出版社/2015-4-1/49.00元,7.8,472
管道的力量,贝克·哈吉斯/成功世纪/2008-7/13.80元,6.9,104
富爸爸，窮爸爸（套書４本）,高寶/2002年08月21日/NT$1060,8.6,44
留出你过冬的粮食,陈作新/2006-1/26.00元,7.4,281
魔鬼投资学,[美]迈克尔·莫布森/刘寅龙/广东经济出版社/2007-10-1/35.00元,7.5,305
富爸爸投资指南,罗伯特·T·清崎/电子工业出版社/2005-7/29.00元,7.9,244
不上班也能月领万元,(加)摩西·A·米列夫斯基//亚历山大·C·麦奎|译者:罗桂连//徐贞颖//谢晓晖/中信/2017-05-01/45.0,7.8,10
正能量投资学,端宏斌/中国发展出版社/2013-3/42.00元,6.7,28
人生宜保,聂方义/中国金融出版社/2015-1-1/58元,6.4,16
一生的理财计划,王在全/北京大学出版社/2007-1/39.00元,7.4,375
富人的阴谋,罗伯特•清崎/南海出版公司/2010-11-1/28.00元,6.4,196
女人就是要有钱,刘忆如/中信出版社/2007-6/22.00元,7.9,814
富爸爸点石成金,[美]罗伯特·清崎、[美]唐纳德·特朗普/宋宏宇、李君/四川文艺出版社/2013-10-1/29.8,8,89
货币战争5,宋鸿兵/长江文艺出版社/2014-1-1/46.00元,6.5,676
我最需要的理财常识书,王华/浙江人民出版社/2013-3/28.00元,7.2,305
女人一定要有钱,法诺什·托拉比/吕美/2009-5/28.00元,6.8,66
给工薪族的第一本理财启蒙书,李昊轩/2012-9/32.00元,7.6,117
富爸爸富孩子，聪明孩子,[美]罗伯特·T.清崎、莎伦·L.莱希特/王丽洁/世界图书出版公司/2001-10/24.80元,5.7,441
基金投资入门与技巧,杨琪/清华大学出版社/2012-1/34.00元,7,38
挖财：理财就是身边事,挖财社区编著/中国友谊出版公司/蓝狮子/2017-2/45.00元,7,55
买房子还是买股票,史蒂文·兰兹伯格/董宜坤/中信出版社/2008-7/36.00元,8.1,95
富爸爸成功创业的10堂必修课,萧明/南海出版公司/2009-8/28.00元,7.9,193
黄金游戏,占豪/上海财经大学出版社/2008-6/25.00元,7.5,258
The Little Book of Common Sense Investing,JohnC.Bogle/JohnWiley&Sons/2007-3-20/GBP19.99,8.5,43
向格雷厄姆学思考向巴菲特学投资,劳伦斯・A・克尼厄姆、王庆、徐隽/王庆、徐隽/中国财政经济出版社/2005-1/39.80元,7.5,163
喜歡的事，就要拿來當飯吃！,本田健/謝敏怡/方智出版社股份有限公司/2016-2-1/NT$260,6.9,26
楼海,熊子/海天出版社/2013-2/50元,8.6,15
戴维斯王朝,[英]约翰﹒罗斯查得/胡雍丰、傅晶/东方出版社/2005-1/20.00元,7.9,189
亚洲财务黑洞,ChinHweeTan、ThomasR.Robinson/张鲁明/机械工业出版社/2015-3-23/CNY68.00,8,72
规划财富人生,杨天南/中国金融出版社/2013-1/36.00元,7.9,52
就这样理财 就这样生活,汪标/2014-7-1/36,7.6,25
富人是如何思考的,【美】史蒂夫•西博尔德（STEVESIEBOLD）/穆光男/东方出版社/2014-7-22/36,7.5,30
你为什么是穷人,古古/漓江出版社/2002-05/15.00,6.9,228
华尔街幽灵,阿瑟·L.辛普森/张志浩、关磊/中国社会科学出版社/2008-3/38.00元,8.1,648
The Richest Man in Babylon,GeorgeS.Clason/Signet/2004-2-1/GBP8.99,7.1,48
美国房地产大亨唐纳德·特朗普的投资课,罗斯/林月清/电子工业出版社/2006-1/18.00元,7.6,50
思考与致富,拿破仑/海潮出版社/2004年06月/24.8,7.5,65
格雷厄姆之道,姜开舰/中国经济出版社/2017-4/48,7.2,53
指数基金,费里(PerriR.A.)/上海财经大学出版社/2004-1/19.00元,7.4,15
理财趁年轻,李晨、薛莉萍/中国铁道出版社/2016-9-1/CNY39.00,7.5,30
5年后，你是什么档次？,狄骧/北京联合出版公司/2016-6/39.90元,8.8,92
富爸爸21世纪的生意,（美）清崎、（美）弗莱明/王戎/南海出版社/2013-1/26.00元,6.4,176
巴菲特教你读财报,MaryBuffett/李凤/中信出版社/2009-8/30.00元,7.2,827
富爸爸提高你的财商,罗伯特·青崎/南海出版社/2008.10/25,7.5,353
证券操盘技术,彭冬初/广东经济/2009-2/100.00元,8.3,74
操盘战法1,窦为/机械工业/2012-1/36.00元,7.3,11
A Man for All Markets,EdwardO.Thorp/RandomHouse/2017-1-24/USD30.00,8.6,61
富爸爸教你买卖贵金属,迈克·马隆尼/王立天/鹭江出版社/2010-11/35.00元,7.8,108
买个好房子,徐斌/浙江出版集团数字传媒有限公司/2016-4-19/3.99,8.2,122
从零开始学理财（全新版）,张鹤/中国铁道出版社/2015-3-1/39.8,7,96
资产配置手册,【英】YoramLustig/李天骋、胡曾犀、朱弘、郑志勇/电子工业出版社/2017-2/79.8,7,11
花钱带来的幸福感,（美）伊丽莎白•邓恩（ELIZABETHDUNN）/向芬/机械工业出版社/2013-12/35.00,7.2,152
牛市需冷静,雪球出品/中国铁道出版社/2015-5-1/49.80,6.2,118
投资心理学,约翰·诺夫辛格/刘丰源、张春安/北京大学出版社/2005-5/21.00元,7.8,164
